objective_id,objective_label,baseline_family,w_perf,w_labor,w_ops,w_compliance,w_opportunity,w_transfer_externalized,w_incident_loss
O1,Runtime-centric local-overhead minimization,SpeculationControls,0.60,0.10,0.10,0.05,0.05,0.05,0.05
O2,Allocation-aware lifecycle burden minimization,SpeculationControls,0.20,0.15,0.15,0.10,0.15,0.15,0.10
